Hospital Name,Coordinates,Specialty Tags,Care Type
Centro Hospitalar do Baixo Vouga - Aveiro,"40.634435, -8.6729264",Hospital,Hospital
Hospital Infante D. Pedro,"40.634435, -8.6729264",Hospital,Hospital
Hospital da Luz Aveiro,"40.6375999, -8.6544008",Hospital privado,Hospital
Hospital da Luz de Aveiro - Consultas e Exames,"40.6375999, -8.6544008",Hospital privado,Hospital
Serviço de Urgência do Centro Hospitalar do Baixo Vouga,"40.6335286, -8.6732637",Urgências,Hospital
AniCura Aveiro Hospital Veterinário,"40.6335286, -8.6732637",Hospital veterinário,Hospital
ACES Baixo Vouga,"40.6335286, -8.6732637",Hospital,Hospital
CCA - Centro Clínico de Aveiro,"40.6267804, -8.6856866",Clínica Médica,Clinic
CMM Aveiro | Clínica Médica em Aveiro | Ortopedia | Fisiatria | Fisioterapia,"40.6267804, -8.6856866",Clínica Médica,Clinic
Ser e Crescer - Serviços Clínicos,"40.6267804, -8.6856866",Clínica Médica,Clinic
Clínica São Bernardo,"40.6179883, -8.6611042",Clínica Médica,Clinic
The Clinique,"40.63984, -8.6903139",Clínica Médica,Clinic
Médico no Bairro,"40.6463419, -8.6702919",Médico de família,Clinic
Marme Clinic - Clínica de Medicina Estética,"40.6463419, -8.6702919",Clínica especializada,Clinic
CMEF - CLÍNICA MÉDICA E FISIOTERAPIA,"40.6417835, -8.6880662",Clínica Médica,Clinic
CliVida - Clínica Médica em Aveiro,"40.6417835, -8.6880662",Clínica Médica,Clinic
Centro Clínico Preveris Aveiro,"40.6417835, -8.6880662",Clínica Médica,Clinic
"Centro Clinico Sá Barrocas, Lda","40.6417835, -8.6880662",Clínica Médica,Clinic
Upcare Medical Center,"40.6417835, -8.6880662",Clínica dentária,Clinic
Move Mais - Clínica Médica e de Reabilitação,"40.6417835, -8.6880662",Clínica Médica,Clinic
Global Medic,"40.6417835, -8.6880662",Clínica Médica,Clinic
