diagnosis,comichão,erupção_cutânea,erupções_cutâneas_nodulares,espirros_contínuos,tremores,arrepios,dor_nas_articulações,dor_de_estômago,acidez,úlceras_na_língua,atrofia_muscular,vómitos,micção_ardente,perdas_urinárias,fadiga,aumento_de_peso,ansiedade,mãos_e_pés_frios,alterações_de_humor,perda_de_peso,agitação,letargia,manchas_na_garganta,nível_de_açúcar_irregular,tosse,febre_alta,olhos_encovados,falta_de_ar,sudorese,desidratação,indigestão,dor_de_cabeça,pele_amarelada,urina_escura,náuseas,perda_de_apetite,dor_atrás_dos_olhos,dor_nas_costas,obstipação,dor_abdominal,diarreia,febre_ligeira,urina_amarela,amarelecimento_dos_olhos,insuficiência_hepática_aguda,sobrecarga_de_fluidos,inchaço_do_estômago,gânglios_linfáticos_inchados,mal_estar,visão_turva_e_distorcida,fleuma,irritação_da_garganta,vermelhidão_dos_olhos,pressão_sinusal,nariz_a_pingar,congestão,dor_no_peito,fraqueza_nos_membros,frequência_cardíaca_elevada,dor_durante_a_defecação,dor_na_região_anal,fezes_com_sangue,irritação_no_ânus,dor_no_pescoço,tonturas,cãibras,equimoses,obesidade,pernas_inchadas,vasos_sanguíneos_dilatados,rosto_e_olhos_inchados,tiróide_aumentada,unhas_frágeis,extremidades_inchadas,fome_excessiva,contactos_extraconjugais,lábios_secos_e_com_formigueiro,discurso_arrastado,dor_no_joelho,dor_na_articulação_da_anca,fraqueza_muscular,rigidez_cervical,inchaço_das_articulações,rigidez_de_movimentos,movimentos_de_rotação,perda_de_equilíbrio,instabilidade,fraqueza_num_lado_do_corpo,perda_de_olfato,desconforto_na_bexiga,odor_fétido_na_urina,sensação_contínua_de_urinar,passagem_de_gases,comichão_interna,aspeto_tóxico_(tifo),depressão,irritabilidade,dor_muscular,alteração_do_sensório,manchas_vermelhas_pelo_corpo,dor_na_barriga,menstruação_anormal,manchas_discrómicas,lacrimejo,apetite_aumentado,poliúria,historial_familiar,expetoração_mucoide,expetoração_ferruginosa,falta_de_concentração,perturbações_visuais,receção_de_transfusão_de_sangue,receção_de_injeções_não_esterilizadas,coma,hemorragia_gástrica,distensão_abdominal,historial_de_consumo_de_álcool,sobrecarga_de_fluidos.1,sangue_na_expetoração,veias_proeminentes_na_barriga_da_perna,palpitações,dor_ao_caminhar,borbulhas_com_pus,pontos_negros,descamação,descamação_da_pele,aspeto_prateado_na_pele,pequenas_depressões_nas_unhas,unhas_inflamadas,bolha,ferida_vermelha_à_volta_do_nariz,crostas_amarelas_com_exsudado,prognóstico
Infeção Fúngica,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Infeção Fúngica,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
Infeção Fúngica,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Infeção Fúngica,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
Infeção Fúngica,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
Infeção Fúngica,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Infeção Fúngica,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Infeção Fúngica,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Infeção Fúngica,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Infeção Fúngica,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
