Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Infeção Fúngica,comichão,erupção_cutânea,erupções_cutâneas_nodulares,manchas_discrómicas,,,,,,,,,,,,,
Infeção Fúngica,erupção_cutânea,erupções_cutâneas_nodulares,manchas_discrómicas,,,,,,,,,,,,,,
Infeção Fúngica,comichão,erupções_cutâneas_nodulares,manchas_discrómicas,,,,,,,,,,,,,,
Infeção Fúngica,comichão,erupção_cutânea,manchas_discrómicas,,,,,,,,,,,,,,
Infeção Fúngica,comichão,erupção_cutânea,erupções_cutâneas_nodulares,,,,,,,,,,,,,,
Infeção Fúngica,erupção_cutânea,erupções_cutâneas_nodulares,manchas_discrómicas,,,,,,,,,,,,,,
Infeção Fúngica,comichão,erupções_cutâneas_nodulares,manchas_discrómicas,,,,,,,,,,,,,,
Infeção Fúngica,comichão,erupção_cutânea,manchas_discrómicas,,,,,,,,,,,,,,
Infeção Fúngica,comichão,erupção_cutânea,erupções_cutâneas_nodulares,,,,,,,,,,,,,,
Infeção Fúngica,comichão,erupção_cutânea,erupções_cutâneas_nodulares,manchas_discrómicas,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,arrepios,lacrimejo,,,,,,,,,,,,,
Alergia,tremores,arrepios,lacrimejo,,,,,,,,,,,,,,
Alergia,espirros_contínuos,arrepios,lacrimejo,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,lacrimejo,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,arrepios,,,,,,,,,,,,,,
Alergia,tremores,arrepios,lacrimejo,,,,,,,,,,,,,,
Alergia,espirros_contínuos,arrepios,lacrimejo,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,lacrimejo,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,arrepios,,,,,,,,,,,,,,
Alergia,espirros_contínuos,tremores,arrepios,lacrimejo,,,,,,,,,,,,,
DRGE,dor_de_estômago,acidez,úlceras_na_língua,vómitos,tosse,dor_no_peito,,,,,,,,,,,
DRGE,dor_de_estômago,úlceras_na_língua,vómitos,tosse,dor_no_peito,,,,,,,,,,,,
DRGE,dor_de_estômago,acidez,vómitos,tosse,dor_no_peito,,,,,,,,,,,,
DRGE,dor_de_estômago,acidez,úlceras_na_língua,tosse,dor_no_peito,,,,,,,,,,,,
DRGE,dor_de_estômago,acidez,úlceras_na_língua,vómitos,dor_no_peito,,,,,,,,,,,,
DRGE,dor_de_estômago,acidez,úlceras_na_língua,vómitos,tosse,,,,,,,,,,,,
DRGE,acidez,úlceras_na_língua,vómitos,tosse,dor_no_peito,,,,,,,,,,,,
DRGE,dor_de_estômago,úlceras_na_língua,vómitos,tosse,dor_no_peito,,,,,,,,,,,,
DRGE,dor_de_estômago,acidez,vómitos,tosse,dor_no_peito,,,,,,,,,,,,
DRGE,dor_de_estômago,acidez,úlceras_na_língua,tosse,dor_no_peito,,,,,,,,,,,,
Colestase Crónica,comichão,vómitos,pele_amarelada,náuseas,perda_de_apetite,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,
Colestase Crónica,vómitos,pele_amarelada,náuseas,perda_de_apetite,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,,
Colestase Crónica,comichão,pele_amarelada,náuseas,perda_de_apetite,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,,
Colestase Crónica,comichão,vómitos,náuseas,perda_de_apetite,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,,
Colestase Crónica,comichão,vómitos,pele_amarelada,perda_de_apetite,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,,
Colestase Crónica,comichão,vómitos,pele_amarelada,náuseas,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,,
Colestase Crónica,comichão,vómitos,pele_amarelada,náuseas,perda_de_apetite,amarelecimento_dos_olhos,,,,,,,,,,,
Colestase Crónica,comichão,vómitos,pele_amarelada,náuseas,perda_de_apetite,dor_abdominal,,,,,,,,,,,
Colestase Crónica,comichão,vómitos,pele_amarelada,náuseas,perda_de_apetite,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,
Colestase Crónica,comichão,vómitos,pele_amarelada,náuseas,perda_de_apetite,dor_abdominal,amarelecimento_dos_olhos,,,,,,,,,,
Reação a Medicamentos,comichão,erupção_cutânea,dor_de_estômago,micção_ardente,perdas_urinárias,,,,,,,,,,,,
Reação a Medicamentos,comichão,dor_de_estômago,micção_ardente,perdas_urinárias,,,,,,,,,,,,,
Reação a Medicamentos,comichão,erupção_cutânea,micção_ardente,perdas_urinárias,,,,,,,,,,,,,
Reação a Medicamentos,comichão,erupção_cutânea,dor_de_estômago,perdas_urinárias,,,,,,,,,,,,,
Reação a Medicamentos,comichão,erupção_cutânea,dor_de_estômago,micção_ardente,,,,,,,,,,,,,
Reação a Medicamentos,erupção_cutânea,dor_de_estômago,micção_ardente,perdas_urinárias,,,,,,,,,,,,,
Reação a Medicamentos,comichão,dor_de_estômago,micção_ardente,perdas_urinárias,,,,,,,,,,,,,
Reação a Medicamentos,comichão,erupção_cutânea,micção_ardente,perdas_urinárias,,,,,,,,,,,,,
Reação a Medicamentos,comichão,erupção_cutânea,dor_de_estômago,perdas_urinárias,,,,,,,,,,,,,
Reação a Medicamentos,comichão,erupção_cutânea,dor_de_estômago,micção_ardente,,,,,,,,,,,,,
Úlcera Péptica,vómitos,perda_de_apetite,dor_abdominal,passagem_de_gases,comichão_interna,,,,,,,,,,,,
Úlcera Péptica,vómitos,indigestão,dor_abdominal,passagem_de_gases,comichão_interna,,,,,,,,,,,,
Úlcera Péptica,indigestão,perda_de_apetite,dor_abdominal,passagem_de_gases,comichão_interna,,,,,,,,,,,,
Úlcera Péptica,vómitos,perda_de_apetite,dor_abdominal,passagem_de_gases,comichão_interna,,,,,,,,,,,,
Úlcera Péptica,vómitos,indigestão,dor_abdominal,passagem_de_gases,comichão_interna,,,,,,,,,,,,
Úlcera Péptica,vómitos,indigestão,perda_de_apetite,passagem_de_gases,comichão_interna,,,,,,,,,,,,
