Model,Mean_F1_Score,Std_Dev_F1,Rank,Mean_Fit_Time_sec,learning_rate,max_depth,n_estimators
Gradient Boosting,0.9592928383821192,0.0012269517730694169,1,212.17975505193075,0.1,3,100
Gradient Boosting,0.9589577140359582,0.001978959730189804,2,319.85568674405414,0.1,3,150
Gradient Boosting,0.9571685008933805,0.0011098288018327963,3,107.54036982854207,0.1,3,50
Gradient Boosting,0.9568551054748274,0.0015899280716859348,4,302.79997237523395,0.2,3,150
Gradient Boosting,0.9568472656680197,0.0014765295058962182,5,205.95471032460532,0.2,3,100
Gradient Boosting,0.9543795881063999,0.0018150651525178153,6,102.0990293820699,0.2,3,50
Gradient Boosting,0.9541598141777404,0.0010785273490947693,7,283.46735374132794,0.2,5,150
Gradient Boosting,0.9537574660300746,0.001072747832845616,8,526.9947473208109,0.1,5,150
Gradient Boosting,0.9532281864486166,0.000566092705907969,9,272.41042534510296,0.2,5,100
Gradient Boosting,0.9529463303341842,0.0009755341904657772,10,358.43130803108215,0.1,5,100
Gradient Boosting,0.9494399580024423,0.0007562237827510536,11,185.39882469177246,0.1,5,50
Gradient Boosting,0.948418190386921,0.0013732080264770906,12,179.1620635986328,0.2,5,50
Gradient Boosting,0.9419488778463578,0.0011227176515558668,13,321.97885807355243,0.01,3,150
Gradient Boosting,0.9418380966474528,0.0006548991601391766,14,553.1109199523926,0.01,5,150
Gradient Boosting,0.9379398311877085,7.513683781291265e-05,15,366.54336675008136,0.01,5,100
Gradient Boosting,0.9319022374750965,0.0010197580913967024,16,180.4199697971344,0.01,5,50
Gradient Boosting,0.9317977493077709,0.0013818028408642703,17,212.20164314905801,0.01,3,100
Gradient Boosting,0.9182092357165955,0.0017233521152974613,18,108.82163643836975,0.01,3,50
