Model,Mean_F1_Score,Std_Dev_F1,Rank,Mean_Fit_Time_sec,max_depth,min_samples_split,n_estimators
Random Forest,0.9559498953516911,0.0008985017987254975,1,8.466667493184408,,2,200
Random Forest,0.9545258746638812,0.0022947267337323643,2,6.395543734232585,,10,200
Random Forest,0.9544436450506648,0.0008332552771483582,3,7.73347266515096,,5,200
Random Forest,0.9531140413132592,0.0007473403683368771,4,6.775373697280884,20.0,5,200
Random Forest,0.9531029965719622,0.002303872484955172,5,7.752248366673787,20.0,2,200
Random Forest,0.9529735755547993,0.0009392229973300566,6,3.843900203704834,,5,100
Random Forest,0.9529147722972552,0.0015383504555194034,7,4.1078572273254395,,2,100
Random Forest,0.9526321583133589,0.002060165419313515,8,   ,,10,100
Random Forest,0.952270039914333,0.0017731900508826844,9,4.41612966855367,20.0,10,200
Random Forest,0.9516397756310515,0.0009710449317722332,10,3.379898945490519,20.0,5,100
Random Forest,0.9509706312698928,0.0024372216950190465,11,3.280059258143107,20.0,10,100
Random Forest,0.9508459694892144,0.001631905537073881,12,2.1012117067972818,,2,50
Random Forest,0.950777336140594,0.001193344368446045,13,4.106979608535767,20.0,2,100
Random Forest,0.9504296910970141,0.0011214068536381612,14,1.7773030598958333,,5,50
Random Forest,0.9495465591035122,0.002409743712648373,15,1.8590180079142253,,10,50
Random Forest,0.9490237635659801,0.0017397831881298402,16,2.076817353566488,20.0,2,50
Random Forest,0.9481403651584737,0.00150267738972179,17,1.6070188681284587,20.0,10,50
Random Forest,0.9476752927908354,0.0008068249470723674,18,2.1247270901997886,20.0,5,50
Random Forest,0.9219258635844675,0.0031914910829145804,19,4.367859681447347,10.0,5,200
Random Forest,0.92180241957742,0.0030196429414749053,20,1.9075710773468018,10.0,5,100
Random Forest,0.9211464075671835,0.0009711383652085453,21,1.87118927637736,10.0,2,100
Random Forest,0.9208917274816076,0.0018017716058679777,22,2.2207043170928955,10.0,10,100
Random Forest,0.9202897445936901,0.0031556167763370224,23,3.7455339431762695,10.0,2,200
Random Forest,0.9197493292999216,0.0030032002123293266,24,4.561797062555949,10.0,10,200
Random Forest,0.9187703486379899,0.0011320235756455918,25,1.0284159978230794,10.0,5,50
Random Forest,0.9177174192207994,0.0019403687153614895,26,1.1090839703877766,10.0,2,50
Random Forest,0.9171054859282969,0.003270951641241656,27,1.026276667912801,10.0,10,50
